type	name	value	zone	address	bytes	access	other
Internal	R0	0x20000000			4	readWrite	strong	
Internal	R1	0x400ff104			4	readWrite	strong	
Internal	R2	0x0			4	readWrite	strong	
Internal	R3	0x4			4	readWrite	strong	
Internal	R4	0xaffffee7			4	readWrite	strong	
Internal	R5	0xeffeb7ff			4	readWrite	strong	
Internal	R6	0xfffef7de			4	readWrite	strong	
Internal	R7	0xbbffffde			4	readWrite	strong	
Internal	R8	0xfffdfff2			4	readWrite	strong	
Internal	R9	0xfbedffff			4	readWrite	strong	
Internal	R10	0xdffffef7			4	readWrite	strong	
Internal	R11	0xfddfffdf			4	readWrite	strong	
Internal	R12	0x5efff714			4	readWrite	strong	
Internal	R13	0x1fffe7f8			4	readWrite	strong	
Internal	R14	0x5a3			4	readWrite	strong	
Internal	PC	0x5a2			4	readWrite	strong	
Internal	APSR	0x0			4	readWrite	strong	
Internal	IAPSR	0x0			4	readWrite	strong	
Internal	EAPSR	0x1000000			4	readWrite	strong	
Internal	xPSR	0x1000000			4	readWrite	strong	
Internal	IPSR	0x0			4	readWrite	strong	
Internal	EPSR	0x1000000			4	readWrite	strong	
Internal	IEPSR	0x1000000			4	readWrite	strong	
Internal	R13_main	0x1fffe7f8			4	readWrite	strong	
Internal	R13_proc	0xfffbfd7c			4	readWrite	strong	
Internal	PRIMASK	0x0			4	readWrite	strong	
Internal	CONTROL	0x0			4	readWrite	strong	
Internal	CFBP	0x0			4	readWrite	strong	
Internal	SP	0x1fffe7f8			4	readWrite	strong	
Internal	LR	0x5a3			4	readWrite	strong	
Internal	R15	0x5a2			4	readWrite	strong	
Internal	SP_process	0xfffbfd7c			4	readWrite	strong	
Internal	R13_process	0xfffbfd7c			4	readWrite	strong	
Internal	PSP	0xfffbfd7c			4	readWrite	strong	
Internal	SP_main	0x1fffe7f8			4	readWrite	strong	
Internal	MSP	0x1fffe7f8			4	readWrite	strong	
Internal	CYCLECOUNTER	0x0			8	readOnly	strong	
Internal	CCTIMER1	0x0			8	readWrite	strong	
Internal	CCTIMER2	0x0			8	readWrite	strong	
Internal	CCSTEP	0x0			8	readOnly	strong	
Factory	NV_BACKKEY3	0xff	Memory	0x400	1	readOnly	strong	
Factory	NV_BACKKEY2	0xff	Memory	0x401	1	readOnly	strong	
Factory	NV_BACKKEY1	0xff	Memory	0x402	1	readOnly	strong	
Factory	NV_BACKKEY0	0xff	Memory	0x403	1	readOnly	strong	
Factory	NV_BACKKEY7	0xff	Memory	0x404	1	readOnly	strong	
Factory	NV_BACKKEY6	0xff	Memory	0x405	1	readOnly	strong	
Factory	NV_BACKKEY5	0xff	Memory	0x406	1	readOnly	strong	
Factory	NV_BACKKEY4	0xff	Memory	0x407	1	readOnly	strong	
Factory	NV_FPROT3	0xff	Memory	0x408	1	readOnly	strong	
Factory	NV_FPROT2	0xff	Memory	0x409	1	readOnly	strong	
Factory	NV_FPROT1	0xff	Memory	0x40a	1	readOnly	strong	
Factory	NV_FPROT0	0xff	Memory	0x40b	1	readOnly	strong	
Factory	NV_FSEC	0xfe	Memory	0x40c	1	readOnly	strong	
Factory	NV_FOPT	0xff	Memory	0x40d	1	readOnly	strong	
Factory	DMA_SAR0	0x0	Memory	0x40008100	4	readWrite	strong	
Factory	DMA_SAR1	0x0	Memory	0x40008110	4	readWrite	strong	
Factory	DMA_SAR2	0x0	Memory	0x40008120	4	readWrite	strong	
Factory	DMA_SAR3	0x0	Memory	0x40008130	4	readWrite	strong	
Factory	DMA_DAR0	0x0	Memory	0x40008104	4	readWrite	strong	
Factory	DMA_DAR1	0x0	Memory	0x40008114	4	readWrite	strong	
Factory	DMA_DAR2	0x0	Memory	0x40008124	4	readWrite	strong	
Factory	DMA_DAR3	0x0	Memory	0x40008134	4	readWrite	strong	
Factory	DMA_DSR_BCR0	0x0	Memory	0x40008108	4	readWrite	strong	
Factory	DMA_DSR_BCR1	0x0	Memory	0x40008118	4	readWrite	strong	
Factory	DMA_DSR_BCR2	0x0	Memory	0x40008128	4	readWrite	strong	
Factory	DMA_DSR_BCR3	0x0	Memory	0x40008138	4	readWrite	strong	
Factory	DMA_DSR0	0x0	Memory	0x4000810b	1	readWrite	strong	
Factory	DMA_DCR0	0x0	Memory	0x4000810c	4	readWrite	strong	
Factory	DMA_DCR1	0x0	Memory	0x4000811c	4	readWrite	strong	
Factory	DMA_DCR2	0x0	Memory	0x4000812c	4	readWrite	strong	
Factory	DMA_DCR3	0x0	Memory	0x4000813c	4	readWrite	strong	
Factory	DMA_DSR1	0x0	Memory	0x4000811b	1	readWrite	strong	
Factory	DMA_DSR2	0x0	Memory	0x4000812b	1	readWrite	strong	
Factory	DMA_DSR3	0x0	Memory	0x4000813b	1	readWrite	strong	
Factory	FTFA_FSTAT	0x80	Memory	0x40020000	1	readWrite	strong	
Factory	FTFA_FCNFG	0x0	Memory	0x40020001	1	readWrite	strong	
Factory	FTFA_FSEC	0xfe	Memory	0x40020002	1	readOnly	strong	
Factory	FTFA_FOPT	0xff	Memory	0x40020003	1	readOnly	strong	
Factory	FTFA_FCCOB3	0x0	Memory	0x40020004	1	readWrite	strong	
Factory	FTFA_FCCOB2	0x0	Memory	0x40020005	1	readWrite	strong	
Factory	FTFA_FCCOB1	0x0	Memory	0x40020006	1	readWrite	strong	
Factory	FTFA_FCCOB0	0x0	Memory	0x40020007	1	readWrite	strong	
Factory	FTFA_FCCOB7	0x0	Memory	0x40020008	1	readWrite	strong	
Factory	FTFA_FCCOB6	0x0	Memory	0x40020009	1	readWrite	strong	
Factory	FTFA_FCCOB5	0x0	Memory	0x4002000a	1	readWrite	strong	
Factory	FTFA_FCCOB4	0x0	Memory	0x4002000b	1	readWrite	strong	
Factory	FTFA_FCCOBB	0x0	Memory	0x4002000c	1	readWrite	strong	
Factory	FTFA_FCCOBA	0x0	Memory	0x4002000d	1	readWrite	strong	
Factory	FTFA_FCCOB9	0x0	Memory	0x4002000e	1	readWrite	strong	
Factory	FTFA_FCCOB8	0x0	Memory	0x4002000f	1	readWrite	strong	
Factory	FTFA_FPROT3	0xff	Memory	0x40020010	1	readWrite	strong	
Factory	FTFA_FPROT2	0xff	Memory	0x40020011	1	readWrite	strong	
Factory	FTFA_FPROT1	0xff	Memory	0x40020012	1	readWrite	strong	
Factory	FTFA_FPROT0	0xff	Memory	0x40020013	1	readWrite	strong	
Factory	DMAMUX0_CHCFG0	---	Memory	0x40021000	1	readWrite	strong	
Factory	DMAMUX0_CHCFG1	---	Memory	0x40021001	1	readWrite	strong	
Factory	DMAMUX0_CHCFG2	---	Memory	0x40021002	1	readWrite	strong	
Factory	DMAMUX0_CHCFG3	---	Memory	0x40021003	1	readWrite	strong	
Factory	I2S0_TCSR	---	Memory	0x4002f000	4	readWrite	strong	
Factory	I2S0_TCR2	---	Memory	0x4002f008	4	readWrite	strong	
Factory	I2S0_TCR3	---	Memory	0x4002f00c	4	readWrite	strong	
Factory	I2S0_TCR4	---	Memory	0x4002f010	4	readWrite	strong	
Factory	I2S0_TCR5	---	Memory	0x4002f014	4	readWrite	strong	
Factory	I2S0_TDR	---	Memory	0x4002f020	4	writeOnly	strong	
Factory	I2S0_TMR	---	Memory	0x4002f060	4	readWrite	strong	
Factory	I2S0_RCSR	---	Memory	0x4002f080	4	readWrite	strong	
Factory	I2S0_RCR2	---	Memory	0x4002f088	4	readWrite	strong	
Factory	I2S0_RCR3	---	Memory	0x4002f08c	4	readWrite	strong	
Factory	I2S0_RCR4	---	Memory	0x4002f090	4	readWrite	strong	
Factory	I2S0_RCR5	---	Memory	0x4002f094	4	readWrite	strong	
Factory	I2S0_RDR	---	Memory	0x4002f0a0	4	readOnly	strong	
Factory	I2S0_RMR	---	Memory	0x4002f0e0	4	readWrite	strong	
Factory	I2S0_MCR	---	Memory	0x4002f100	4	readWrite	strong	
Factory	I2S0_MDR	---	Memory	0x4002f104	4	readWrite	strong	
Factory	PIT_MCR	---	Memory	0x40037000	4	readWrite	strong	
Factory	PIT_LTMR64H	---	Memory	0x400370e0	4	readOnly	strong	
Factory	PIT_LTMR64L	---	Memory	0x400370e4	4	readOnly	strong	
Factory	PIT_LDVAL0	---	Memory	0x40037100	4	readWrite	strong	
Factory	PIT_LDVAL1	---	Memory	0x40037110	4	readWrite	strong	
Factory	PIT_CVAL0	---	Memory	0x40037104	4	readOnly	strong	
Factory	PIT_CVAL1	---	Memory	0x40037114	4	readOnly	strong	
Factory	PIT_TCTRL0	---	Memory	0x40037108	4	readWrite	strong	
Factory	PIT_TCTRL1	---	Memory	0x40037118	4	readWrite	strong	
Factory	PIT_TFLG0	---	Memory	0x4003710c	4	readWrite	strong	
Factory	PIT_TFLG1	---	Memory	0x4003711c	4	readWrite	strong	
Factory	TPM0_SC	---	Memory	0x40038000	4	readWrite	strong	
Factory	TPM0_CNT	---	Memory	0x40038004	4	readWrite	strong	
Factory	TPM0_MOD	---	Memory	0x40038008	4	readWrite	strong	
Factory	TPM0_C0SC	---	Memory	0x4003800c	4	readWrite	strong	
Factory	TPM0_C1SC	---	Memory	0x40038014	4	readWrite	strong	
Factory	TPM0_C2SC	---	Memory	0x4003801c	4	readWrite	strong	
Factory	TPM0_C3SC	---	Memory	0x40038024	4	readWrite	strong	
Factory	TPM0_C4SC	---	Memory	0x4003802c	4	readWrite	strong	
Factory	TPM0_C5SC	---	Memory	0x40038034	4	readWrite	strong	
Factory	TPM0_C0V	---	Memory	0x40038010	4	readWrite	strong	
Factory	TPM0_C1V	---	Memory	0x40038018	4	readWrite	strong	
Factory	TPM0_C2V	---	Memory	0x40038020	4	readWrite	strong	
Factory	TPM0_C3V	---	Memory	0x40038028	4	readWrite	strong	
Factory	TPM0_C4V	---	Memory	0x40038030	4	readWrite	strong	
Factory	TPM0_C5V	---	Memory	0x40038038	4	readWrite	strong	
Factory	TPM0_STATUS	---	Memory	0x40038050	4	readWrite	strong	
Factory	TPM0_CONF	---	Memory	0x40038084	4	readWrite	strong	
Factory	TPM1_SC	---	Memory	0x40039000	4	readWrite	strong	
Factory	TPM1_CNT	---	Memory	0x40039004	4	readWrite	strong	
Factory	TPM1_MOD	---	Memory	0x40039008	4	readWrite	strong	
Factory	TPM1_C0SC	---	Memory	0x4003900c	4	readWrite	strong	
Factory	TPM1_C1SC	---	Memory	0x40039014	4	readWrite	strong	
Factory	TPM1_C0V	---	Memory	0x40039010	4	readWrite	strong	
Factory	TPM1_C1V	---	Memory	0x40039018	4	readWrite	strong	
Factory	TPM1_STATUS	---	Memory	0x40039050	4	readWrite	strong	
Factory	TPM1_CONF	---	Memory	0x40039084	4	readWrite	strong	
Factory	TPM2_SC	---	Memory	0x4003a000	4	readWrite	strong	
Factory	TPM2_CNT	---	Memory	0x4003a004	4	readWrite	strong	
Factory	TPM2_MOD	---	Memory	0x4003a008	4	readWrite	strong	
